time,queue_length,busy_servers
751.3717145846084,1,1
751.3717145846084,0,2
751.3783435273034,0,1
751.8743545953602,0,0
752.2846461113189,1,0
752.2846461113189,0,1
752.7452647309656,0,0
753.2847553980048,1,0
753.2847553980048,0,1
755.0466065519672,1,1
755.0466065519672,0,2
755.2186238334342,1,2
755.3812705874536,1,1
755.3812705874536,0,2
755.5076835032667,0,1
756.1269035996685,1,1
756.1269035996685,0,2
756.505411266934,0,1
758.3889058707455,0,0
758.4730433898598,1,0
758.4730433898598,0,1
759.4708969786302,1,1
759.4708969786302,0,2
760.4600943030088,1,2
760.8115781312296,1,1
760.8115781312296,0,2
760.9648737623237,1,2
762.7904809314248,1,1
762.7904809314248,0,2
762.792482818966,1,2
763.4611943721928,2,2
765.8409985751741,2,1
765.8409985751741,1,2
765.9431041925377,1,1
765.9431041925377,0,2
767.3573911426807,0,1
767.7330787220535,0,0
768.4809280422822,1,0
768.4809280422822,0,1
768.5481272260733,0,0
768.6243303421005,1,0
768.6243303421005,0,1
769.8172927184944,1,1
769.8172927184944,0,2
771.8915312428932,0,1
773.7998839702869,0,0
774.9843151855865,1,0
774.9843151855865,0,1
776.7482210678345,0,0
776.9524158036951,1,0
776.9524158036951,0,1
777.36779956348,0,0
777.8368752982641,1,0
777.8368752982641,0,1
777.9234862608217,1,1
777.9234862608217,0,2
780.0342859052703,0,1
780.684283551998,1,1
780.684283551998,0,2
780.7437461761843,0,1
780.8631050610485,0,0
782.6349743524147,1,0
782.6349743524147,0,1
783.6301716533868,1,1
783.6301716533868,0,2
784.0024753202856,1,2
784.3771623638594,2,2
784.4117742912237,3,2
784.7806109451575,3,1
784.7806109451575,2,2
785.3090872769492,2,1
785.3090872769492,1,2
786.5056077247817,2,2
788.1941016813073,3,2
788.2290900114832,4,2
788.4451361818903,5,2
788.786273640319,5,1
788.786273640319,4,2
789.0463990849855,5,2
789.2246206482733,5,1
789.2246206482733,4,2
789.4414610442634,4,1
789.4414610442634,3,2
789.8299585167364,4,2
790.0077545016371,4,1
790.0077545016371,3,2
790.0262045187158,4,2
790.4633763149155,5,2
790.4647591488821,5,1
790.4647591488821,4,2
791.0596178874399,5,2
791.1086067803756,6,2
791.8891798812369,7,2
792.5244972585513,7,1
792.5244972585513,6,2
793.2503513482361,6,1
793.2503513482361,5,2
793.5205128400521,5,1
793.5205128400521,4,2
793.5383722866018,4,1
793.5383722866018,3,2
794.9046761036759,3,1
794.9046761036759,2,2
795.2304888598114,2,1
795.2304888598114,1,2
795.5654964754137,2,2
795.6139515275581,2,1
795.6139515275581,1,2
795.9331700738853,2,2
796.9663723568966,3,2
797.335389849364,3,1
797.335389849364,2,2
797.8371373229262,2,1
797.8371373229262,1,2
798.2606845256223,2,2
798.2720771598594,2,1
798.2720771598594,1,2
798.3233221250914,1,1
798.3233221250914,0,2
799.4932859133298,1,2
799.5187607694438,2,2
800.5971883758931,3,2
801.4677293734778,3,1
801.4677293734778,2,2
801.5032222645057,2,1
801.5032222645057,1,2
801.5947240190577,1,1
