time,S,I,R
19.436142901748216,723,175,102
19.449125525797633,722,176,102
19.449219489765742,721,177,102
19.462696565795913,720,178,102
19.466431913808236,719,179,102
19.496124755362086,718,180,102
19.500134767559334,718,179,103
19.510626205556765,717,180,103
19.514721443502783,717,179,104
19.521886843595205,717,178,105
19.52683842352853,716,179,105
19.574766448078567,715,180,105
19.60530451982547,715,179,106
19.686129182004784,714,180,106
19.72375492507798,713,181,106
19.724018973276497,712,182,106
19.738042432002,711,183,106
19.74841106788391,710,184,106
19.775581613603393,709,185,106
19.78938850889919,708,186,106
19.84366043927769,707,187,106
19.84939388755741,706,188,106
19.86207604335052,705,189,106
19.936172817940896,704,190,106
19.955760300752022,703,191,106
20.02245460368199,702,192,106
20.025240657267556,701,193,106
20.034563037173776,700,194,106
20.03548336105943,699,195,106
20.036903772757835,698,196,106
20.039635980669328,698,195,107
20.041444837813554,698,194,108
20.056727610457177,698,193,109
20.07145904791948,697,194,109
20.076270106125364,697,193,110
20.07800138520383,697,192,111
20.088509971774265,697,191,112
20.095744228001234,696,192,112
20.104205864062276,695,193,112
20.11282046035805,694,194,112
20.13366711417004,693,195,112
20.137195187588667,693,194,113
20.17054709242514,692,195,113
20.183499977573778,692,194,114
20.196384124407583,691,195,114
20.210326826296654,690,196,114
20.217929035142767,689,197,114
20.224505816368698,689,196,115
20.235314369977,688,197,115
20.248616861912687,687,198,115
20.270180784800043,686,199,115
20.34286170166296,686,198,116
20.35901835494748,685,199,116
20.48826066342688,685,198,117
20.499557501818007,684,199,117
20.514413751839026,684,198,118
20.531020037987634,684,197,119
20.5415206018534,683,198,119
20.54898223646386,682,199,119
20.57578948620007,681,200,119
20.584304462432428,680,201,119
20.616708470866996,680,200,120
20.623757720994334,679,201,120
20.634519833896427,679,200,121
20.652383243170686,678,201,121
20.664874269909912,678,200,122
20.70238566220648,677,201,122
20.722720309035612,677,200,123
20.73785600210259,676,201,123
20.762286378430474,675,202,123
20.76411418557627,674,203,123
20.809536427730613,673,204,123
20.81186286059318,673,203,124
20.84320575942685,673,202,125
20.844834154763603,673,201,126
20.862877205329713,673,200,127
20.892563914624308,672,201,127
20.90962389720525,672,200,128
20.913001524399878,672,199,129
20.94699763565587,671,200,129
20.981538760286906,670,201,129
21.003834550891252,670,200,130
21.009075690197466,669,201,130
21.01591672132018,668,202,130
21.01814395681296,667,203,130
21.036512967311207,666,204,130
21.073070988096074,665,205,130
21.078093155595287,665,204,131
21.08958268386012,665,203,132
21.09432909934662,665,202,133
21.103359524657595,665,201,134
21.1170811028402,665,200,135
21.130044715133852,664,201,135
21.152188647918695,663,202,135
21.18257617442135,663,201,136
21.19141720977001,663,200,137
21.201089895353686,662,201,137
21.203911988245974,662,200,138
21.211690560654922,661,201,138
21.218456205278972,660,202,138
21.242127992436554,659,203,138
21.245267331742888,658,204,138
21.248234153574153,658,203,139
21.26960677829469,657,204,139
21.27563709576329,657,203,140
21.294498995596566,656,204,140
21.317879416343416,655,205,140
21.346596886899878,655,204,141
21.349907289410844,654,205,141
21.402767779319607,654,204,142
21.416019769421492,653,205,142
21.447842658866513,652,206,142
21.45017574113708,652,205,143
21.46334969331463,652,204,144
21.469711436707197,652,203,145
21.47476022105267,651,204,145
21.481691685625385,650,205,145
21.503381253487177,649,206,145
21.506734647972245,649,205,146
21.514133653351557,648,206,146
21.525843583609245,647,207,146
21.539290208904948,646,208,146
21.54117624992604,645,209,146
21.550459714448575,644,210,146
21.589848302295078,643,211,146
21.60405992616373,642,212,146
21.613604919895614,642,211,147
21.613911173472992,641,212,147
21.621468716787824,641,211,148
21.63086585394646,640,212,148
21.690013961754868,639,213,148
21.745711694797997,638,214,148
21.76804696009374,638,213,149
21.780397718398312,637,214,149
21.789986877107484,636,215,149
21.809519708936993,635,216,149
21.823253396715764,634,217,149
21.832253373633407,633,218,149
21.846610915812565,633,217,150
21.856784967150407,632,218,150
21.926476580730878,631,219,150
21.939607523696267,630,220,150
21.96175626830014,629,221,150
21.99138289339543,628,222,150
22.010067950834657,627,223,150
22.050325876265635,626,224,150
22.059512578551086,625,225,150
22.061186999328733,625,224,151
22.109199684638146,624,225,151
22.11650060567076,623,226,151
22.122329948100255,622,227,151
22.123309394817003,621,228,151
22.12459134244417,620,229,151
22.16484957585446,619,230,151
22.180323060008458,618,231,151
22.187905305770038,618,230,152
22.196556332415696,617,231,152
22.215073179885934,616,232,152
22.226695278371224,616,231,153
22.2272401552845,615,232,153
22.24730765624032,614,233,153
22.251905484818877,613,234,153
22.263706911846146,613,233,154
22.270397332340327,612,234,154
22.274872470234122,612,233,155
22.2919565762611,611,234,155
22.29559991707633,610,235,155
22.37141422339045,609,236,155
22.381036997290078,608,237,155
22.390888458602554,607,238,155
22.393901649107015,606,239,155
22.394361402259076,605,240,155
22.400750918449482,605,239,156
22.417485331173207,604,240,156
22.424400153770613,603,241,156
22.42482685134078,602,242,156
22.467371727540336,601,243,156
22.49200395082418,600,244,156
22.546688776240998,599,245,156
22.547331283232417,599,244,157
22.5765606694547,599,243,158
22.577314931857288,598,244,158
22.58591312366771,597,245,158
22.598038713748895,597,244,159
22.60189216109836,597,243,160
22.602303079434662,596,244,160
22.62411378739393,595,245,160
22.632611527445196,594,246,160
22.646187783061112,593,247,160
22.663560942784684,592,248,160
