t,S,I,R
16.273450756764863,581,142,277
16.28218450149885,580,143,277
16.29823056638415,580,142,278
16.323245336765805,580,141,279
16.331709659183847,579,142,279
16.34608494236567,579,141,280
16.34697969960261,579,140,281
16.382350745508827,579,139,282
16.41473025559269,578,140,282
16.41504460309441,578,139,283
16.44824898517608,577,140,283
16.460976770178473,577,139,284
16.471892111915,576,140,284
16.5015452160196,575,141,284
16.520138993431612,574,142,284
16.52098715597271,573,143,284
16.521850986098915,573,142,285
16.53406213255738,572,143,285
16.544970299890213,572,142,286
16.54615078779031,571,143,286
16.55681442883388,571,142,287
16.56600075348462,570,143,287
16.56920603992127,570,142,288
16.586793416800013,570,141,289
16.594667599762328,570,140,290
16.60669991388172,570,139,291
16.613851888917342,570,138,292
16.629742160693883,570,137,293
16.635229207200357,570,136,294
16.6746696245569,569,137,294
16.684739781857115,569,136,295
16.68767978671353,568,137,295
16.689052453137204,568,136,296
16.697258762302685,568,135,297
16.704074487756348,567,136,297
16.71111382659325,567,135,298
16.71978131192133,567,134,299
16.732250828580348,566,135,299
16.739629338005972,565,136,299
16.76451705271755,564,137,299
16.77438455614044,563,138,299
16.79914766938224,563,137,300
16.8123622546266,562,138,300
16.812488959762742,561,139,300
16.818192887912097,560,140,300
16.87396957293796,559,141,300
16.876332742240077,559,140,301
16.911151502943365,558,141,301
16.917757475502636,557,142,301
16.917833933564033,556,143,301
16.930679630162235,556,142,302
16.935733186691234,555,143,302
16.942456773714543,555,142,303
16.944309021279583,554,143,303
16.955493851751314,553,144,303
16.962533165028386,553,143,304
17.010272914044545,553,142,305
17.01816927874865,553,141,306
17.028644707095232,552,142,306
17.045526580000782,552,141,307
17.046085730637905,551,142,307
17.074503414080358,550,143,307
17.10702599583853,550,142,308
17.10789572151263,550,141,309
17.109896105373306,549,142,309
17.116620743654632,548,143,309
17.119050385551954,548,142,310
17.126396678229565,548,141,311
17.12849841318375,547,142,311
17.131533635206477,547,141,312
17.149644214831124,546,142,312
17.152163958330792,545,143,312
17.16349965479225,545,142,313
17.16430046904618,544,143,313
17.17510934106489,544,142,314
17.19757208178177,544,141,315
17.2323193940308,543,142,315
17.242697005204104,542,143,315
17.288448225885126,541,144,315
17.307567515526916,541,143,316
17.340931924790322,540,144,316
17.348115832040346,540,143,317
17.374552945473702,540,142,318
17.399368182083016,540,141,319
17.414932557585104,539,142,319
17.42557897319021,539,141,320
17.428306403136155,539,140,321
17.43554362257222,538,141,321
17.44710780423054,538,140,322
17.473554872328716,537,141,322
17.486513188524416,537,140,323
17.487552297594807,536,141,323
17.48841040291988,535,142,323
17.49746658613679,535,141,324
17.512507755580945,534,142,324
17.53766766604493,533,143,324
17.602644606563075,532,144,324
17.605496710458823,532,143,325
17.618128349296892,532,142,326
17.62111528236311,532,141,327
17.643944660978345,531,142,327
17.645746465549053,530,143,327
17.65874391570752,529,144,327
17.659174408680435,528,145,327
17.66790662308271,527,146,327
17.6716998932355,527,145,328
17.67174903329642,527,144,329
17.67678951841311,526,145,329
17.693801546010686,525,146,329
17.694575771810456,524,147,329
17.71465868254169,524,146,330
17.74036804928226,524,145,331
17.747421621676324,523,146,331
17.780717295533314,522,147,331
17.80721197888798,521,148,331
17.83436648334315,520,149,331
17.837652527241247,520,148,332
17.84446103434181,520,147,333
17.848967328320906,520,146,334
17.851556926543303,519,147,334
17.852318367895535,519,146,335
17.860759199434554,519,145,336
17.865518575821483,518,146,336
17.867930992618202,517,147,336
17.88014780754542,517,146,337
17.89523468446343,516,147,337
17.90981847418926,515,148,337
17.91660957252884,514,149,337
17.925969039194676,513,150,337
17.932378599239122,513,149,338
17.936958965288994,513,148,339
17.947352567260907,513,147,340
17.95274749920904,512,148,340
17.952936776759596,512,147,341
17.96426291727932,511,148,341
17.96783172805433,510,149,341
17.986138155984147,510,148,342
18.00037282082254,510,147,343
18.01933850364462,510,146,344
18.02054306069658,509,147,344
18.054624605419576,508,148,344
18.06687020658387,507,149,344
18.080480693051136,507,148,345
18.084634518482176,506,149,345
18.085966212252835,505,150,345
18.088574496535177,504,151,345
18.09154051296207,504,150,346
18.11526488499127,504,149,347
18.14641377604525,504,148,348
18.149339226398123,504,147,349
18.150837887416056,503,148,349
18.156147129469783,503,147,350
18.186245070169413,502,148,350
18.192827265640368,501,149,350
18.202653637648922,501,148,351
18.212819305006608,501,147,352
18.217378767533557,500,148,352
18.225458996729547,499,149,352
18.243899175627334,499,148,353
18.25322120071436,499,147,354
18.27511991195785,498,148,354
18.28343404430424,498,147,355
18.28605094050987,497,148,355
18.291003821964445,496,149,355
18.305821160221615,496,148,356
18.307302181578184,495,149,356
18.310907379492104,494,150,356
18.33811265274103,494,149,357
18.346412080742997,494,148,358
18.362763108724458,493,149,358
18.375226706319438,492,150,358
18.37977529392138,491,151,358
18.40401973119934,491,150,359
18.408474279113506,490,151,359
18.415948648006555,490,150,360
18.43209152713021,490,149,361
18.44661622185694,489,150,361
18.44707517592456,488,151,361
18.44749682726417,487,152,361
18.469969242491945,487,151,362
18.474778271795365,487,150,363
18.495752395091372,487,149,364
18.49661451822832,487,148,365
18.501840047254483,487,147,366
18.502805392278404,487,146,367
18.531523831296937,487,145,368
18.53806130223359,487,144,369
18.55177574640245,486,145,369
18.569393413858272,486,144,370
18.59041116266028,486,143,371
18.597137294440103,486,142,372
18.59901422112445,485,143,372
18.601320398058746,485,142,373
18.611741159062404,485,141,374
18.62635277126662,485,140,375
18.629124112375635,484,141,375
18.631630777272793,483,142,375
18.633465645790647,482,143,375
18.636074388086268,482,142,376
18.687346826650966,482,141,377
18.713129503040783,481,142,377
