topology	left_rate	seed	deadlock	deadlock_time	mean_eaters	max_eaters
arbiter	0.7	2	false		0.5921787709497207	2.0
arbiter	0.7	3	false		0.55	2.0
arbiter	0.7	4	false		0.4861111111111111	2.0
arbiter	0.7	5	false		0.46511627906976744	2.0
arbiter	0.7	6	false		0.5363128491620112	2.0
arbiter	0.7	7	false		0.5730994152046783	2.0
arbiter	0.7	8	false		0.5952380952380952	2.0
arbiter	0.7	9	false		0.44715447154471544	1.0
arbiter	0.7	10	false		0.532051282051282	2.0
arbiter	0.7	11	false		0.6848484848484848	2.0
arbiter	0.7	12	false		0.541095890410959	2.0
arbiter	0.7	13	false		0.42063492063492064	1.0
arbiter	0.7	14	false		0.48854961832061067	1.0
arbiter	0.7	15	false		0.5454545454545454	2.0
arbiter	0.7	16	false		0.4444444444444444	2.0
arbiter	0.7	17	false		0.4966442953020134	2.0
arbiter	0.7	18	false		0.582010582010582	2.0
arbiter	0.7	19	false		0.6540880503144654	2.0
arbiter	0.7	20	false		0.5569620253164557	2.0
arbiter	0.7	21	false		0.4732824427480916	2.0
arbiter	0.7	22	false		0.5371428571428571	2.0
arbiter	0.7	23	false		0.45454545454545453	2.0
arbiter	0.7	24	false		0.4768211920529801	2.0
arbiter	0.7	25	false		0.5851063829787234	2.0
arbiter	0.7	26	false		0.6449704142011834	2.0
arbiter	0.7	27	false		0.5882352941176471	2.0
arbiter	0.7	28	false		0.654054054054054	2.0
arbiter	0.7	29	false		0.58	2.0
arbiter	0.7	30	false		0.49635036496350365	2.0
arbiter	0.7	31	false		0.5977653631284916	2.0
arbiter	0.7	32	false		0.48502994011976047	2.0
arbiter	0.7	33	false		0.6124031007751938	2.0
arbiter	0.7	34	false		0.4861111111111111	2.0
arbiter	0.7	35	false		0.4722222222222222	2.0
arbiter	0.7	36	false		0.6275862068965518	2.0
arbiter	0.7	37	false		0.6818181818181818	2.0
arbiter	0.7	38	false		0.484375	2.0
arbiter	0.7	39	false		0.5886075949367089	2.0
arbiter	0.7	40	false		0.4855072463768116	2.0
classical	0.9	1	true	8.436444111050633	0.4166666666666667	1.0
classical	0.9	2	true	25.726426024715654	0.7301587301587301	2.0
classical	0.9	3	true	5.199081511066	0.5	1.0
classical	0.9	4	true	2.8330093186617886	0.3333333333333333	1.0
classical	0.9	5	true	5.566829039275048	0.3333333333333333	2.0
classical	0.9	6	true	5.047448050636198	0.47619047619047616	2.0
classical	0.9	7	true	6.504404733967867	0.3333333333333333	1.0
classical	0.9	8	true	0.8188530965264054	0.0	0.0
classical	0.9	9	true	9.790763311300342	0.5416666666666666	2.0
classical	0.9	10	true	1.6280506339064298	0.3333333333333333	1.0
classical	0.9	11	true	1.69501309006314	0.1111111111111111	1.0
classical	0.9	12	true	19.080697542929	0.6481481481481481	2.0
classical	0.9	13	true	15.105538510378214	0.6388888888888888	2.0
classical	0.9	14	true	1.3945369307335334	0.2222222222222222	1.0
classical	0.9	15	true	31.06819851244259	0.5454545454545454	2.0
classical	0.9	16	true	48.34696649603488	0.4895833333333333	2.0
classical	0.9	17	true	31.097846939134005	0.7307692307692307	2.0
classical	0.9	18	true	26.432710652066245	0.4444444444444444	1.0
classical	0.9	19	true	29.484374255002287	0.5606060606060606	2.0
classical	0.9	20	true	1.0997976704301822	0.0	0.0
classical	0.9	21	true	2.904143740453467	0.3333333333333333	1.0
classical	0.9	22	true	4.307252523221388	0.1111111111111111	1.0
classical	0.9	23	true	2.1297513239801136	0.1111111111111111	1.0
classical	0.9	24	true	1.9595065888469656	0.5833333333333334	2.0
classical	0.9	25	true	9.295446656897987	0.5185185185185185	2.0
classical	0.9	26	true	45.76705965327595	0.5555555555555556	2.0
classical	0.9	27	true	17.112471625233603	0.8787878787878788	2.0
classical	0.9	28	true	11.541574502180486	0.5666666666666667	2.0
classical	0.9	29	true	19.3192806467159	0.631578947368421	2.0
classical	0.9	30	true	43.145112779951376	0.5	2.0
classical	0.9	31	true	10.269612075886828	0.2777777777777778	1.0
classical	0.9	32	true	51.91320390110398	0.5523809523809524	2.0
classical	0.9	33	true	15.090013315973271	0.36666666666666664	1.0
classical	0.9	34	true	1.9372627510743334	0.0	0.0
classical	0.9	35	true	4.96495119254388	0.3333333333333333	1.0
classical	0.9	36	true	49.85567479275482	0.7350427350427351	2.0
classical	0.9	37	true	16.068430290590378	0.5	2.0
classical	0.9	38	true	4.529094165376099	0.3333333333333333	1.0
classical	0.9	39	true	6.598845683895699	0.26666666666666666	1.0
classical	0.9	40	true	6.740058392261003	0.7037037037037037	2.0
arbiter	0.9	1	false		0.572463768115942	2.0
arbiter	0.9	2	false		0.436046511627907	2.0
arbiter	0.9	3	false		0.44776119402985076	1.0
arbiter	0.9	4	false		0.5694444444444444	2.0
arbiter	0.9	5	false		0.5159235668789809	2.0
arbiter	0.9	6	false		0.6338797814207651	2.0
arbiter	0.9	7	false		0.5058823529411764	2.0
arbiter	0.9	8	false		0.4666666666666667	2.0
